,rmsre_grad
0,0.4508599645339802
1,0.45085996453398014
2,0.45085996453398025
3,0.45085996453398025
4,0.4508599645339803
5,0.4508599645339799
6,0.45085996453398025
7,0.4508599645339803
8,0.45085996453398014
9,0.45085996453398025
10,0.45085996453398025
11,0.4508599645339802
12,0.45085996453398014
13,0.45085996453398025
14,0.45085996453398025
15,0.4508599645339803
16,0.4508599645339799
17,0.45085996453398025
18,0.4508599645339803
19,0.45085996453398014
20,0.45085996453398025
21,0.45085996453398025
22,0.4508599645339802
23,0.45085996453398014
24,0.45085996453398025
25,0.45085996453398025
26,0.4508599645339803
27,0.4508599645339799
28,0.45085996453398025
29,0.4508599645339803
30,0.45085996453398014
31,0.45085996453398025
32,0.45085996453398025
33,0.4508599645339802
34,0.45085996453398014
35,0.45085996453398025
36,0.45085996453398025
37,0.4508599645339803
38,0.4508599645339799
39,0.45085996453398025
40,0.4508599645339803
41,0.45085996453398014
42,0.45085996453398025
43,0.45085996453398025
44,0.4508599645339802
45,0.45085996453398014
46,0.45085996453398025
47,0.45085996453398025
48,0.4508599645339803
49,0.4508599645339799
50,0.45085996453398025
51,0.4508599645339803
52,0.45085996453398014
53,0.45085996453398025
54,0.45085996453398025
55,0.4508599645339802
56,0.45085996453398014
57,0.45085996453398025
58,0.45085996453398025
59,0.4508599645339803
60,0.4508599645339799
61,0.45085996453398025
62,0.4508599645339803
63,0.45085996453398014
64,0.45085996453398025
65,0.45085996453398025
66,0.4508599645339802
67,0.45085996453398014
68,0.45085996453398025
69,0.45085996453398025
70,0.4508599645339803
71,0.4508599645339799
72,0.45085996453398025
73,0.4508599645339803
74,0.45085996453398014
75,0.45085996453398025
76,0.45085996453398025
77,0.4508599645339802
78,0.45085996453398014
79,0.45085996453398025
80,0.45085996453398025
81,0.4508599645339803
82,0.4508599645339799
83,0.45085996453398025
84,0.4508599645339803
85,0.45085996453398014
86,0.45085996453398025
87,0.45085996453398025
88,0.4508599645339802
89,0.45085996453398014
90,0.45085996453398025
91,0.45085996453398025
92,0.4508599645339803
93,0.4508599645339799
94,0.45085996453398025
95,0.4508599645339803
96,0.45085996453398014
97,0.45085996453398025
98,0.45085996453398025
99,0.4508599645339802
100,0.45085996453398014
101,0.45085996453398025
102,0.45085996453398025
103,0.4508599645339803
104,0.4508599645339799
105,0.45085996453398025
106,0.4508599645339803
107,0.45085996453398014
108,0.45085996453398025
109,0.45085996453398025
110,0.4508599645339802
111,0.45085996453398014
112,0.45085996453398025
113,0.45085996453398025
114,0.4508599645339803
115,0.4508599645339799
116,0.45085996453398025
117,0.4508599645339803
118,0.45085996453398014
119,0.45085996453398025
120,0.45085996453398025
121,0.4508599645339802
122,0.45085996453398014
123,0.45085996453398025
124,0.45085996453398025
125,0.4508599645339803
126,0.4508599645339799
127,0.45085996453398025
128,0.4508599645339803
129,0.45085996453398014
130,0.45085996453398025
131,0.45085996453398025
132,0.4508599645339802
133,0.45085996453398014
134,0.45085996453398025
135,0.45085996453398025
136,0.4508599645339803
