,rmsre_grad
mean,0.4263685694775395
lower_limit,0.18169849833411497
upper_limit,1.8325457745851983
lower_value,0.2446700711434245
upper_value,2.2589143440627377
0,0.5882909310759706
1,0.37543507477767024
2,0.2935610327139253
3,0.3156539818613428
4,0.29279550904843704
5,0.2522583833967528
6,0.319994184765824
7,0.5882909310759706
8,0.37543507477767024
9,0.2935610327139253
10,0.3156539818613428
11,0.29279550904843704
12,0.2522583833967528
13,0.319994184765824
14,0.5882909310759706
15,0.37543507477767024
16,0.2935610327139253
17,0.3156539818613428
18,0.29279550904843704
19,0.2522583833967528
20,0.319994184765824
21,0.5882909310759706
22,0.37543507477767024
23,0.2935610327139253
24,0.3156539818613428
25,0.29279550904843704
26,0.2522583833967528
27,0.319994184765824
28,0.31635805770607267
29,0.5376761780663473
30,0.29761167115411197
31,0.3430436718289091
32,0.36234509561744527
33,0.28500925548471134
34,0.2882756994405496
35,0.31635805770607267
36,0.5376761780663473
37,0.29761167115411197
38,0.3430436718289091
39,0.36234509561744527
40,0.28500925548471134
41,0.2882756994405496
42,0.31635805770607267
43,0.5376761780663473
44,0.29761167115411197
45,0.3430436718289091
46,0.36234509561744527
47,0.28500925548471134
48,0.2882756994405496
49,0.31635805770607267
50,0.5376761780663473
51,0.29761167115411197
52,0.3430436718289091
53,0.36234509561744527
54,0.28500925548471134
55,0.2882756994405496
56,0.3116928142439099
57,0.44955291664590946
58,0.38636097130318275
59,0.2446700711434245
60,0.3466776675603946
61,0.3135237432638452
62,2.2589143440627377
63,0.3116928142439099
64,0.44955291664590946
65,0.38636097130318275
66,0.2446700711434245
67,0.3466776675603946
68,0.3135237432638452
69,2.2589143440627377
70,0.3116928142439099
71,0.44955291664590946
72,0.38636097130318275
73,0.2446700711434245
74,0.3466776675603946
75,0.3135237432638452
76,2.2589143440627377
77,0.3116928142439099
78,0.44955291664590946
79,0.38636097130318275
80,0.2446700711434245
81,0.3466776675603946
82,0.3135237432638452
83,2.2589143440627377
84,0.3849052288231431
85,0.36954012934933694
86,0.33324813347709176
87,0.32020326488086326
88,0.30452312241671825
89,0.2722660406786413
90,0.5971173648419907
91,0.3849052288231431
92,0.36954012934933694
93,0.33324813347709176
94,0.32020326488086326
95,0.30452312241671825
96,0.2722660406786413
97,0.5971173648419907
98,0.3849052288231431
99,0.36954012934933694
