,rmsre_grad
mean,0.17167271091980482
lower_limit,0.09196318932321292
upper_limit,0.07860599032655893
lower_value,0.0797095215965919
upper_value,0.25027870124636376
0,0.0797095215965919
1,0.11764882032612492
2,0.0797095215965919
3,0.11764882032612492
4,0.0797095215965919
5,0.11764882032612492
6,0.0797095215965919
7,0.11764882032612492
8,0.0797095215965919
9,0.11764882032612492
10,0.0797095215965919
11,0.11764882032612492
12,0.0797095215965919
13,0.11764882032612492
14,0.0797095215965919
15,0.11764882032612492
16,0.0797095215965919
17,0.11764882032612492
18,0.0797095215965919
19,0.11764882032612492
20,0.0797095215965919
21,0.11764882032612492
22,0.0797095215965919
23,0.11764882032612492
24,0.0797095215965919
25,0.11764882032612492
26,0.0797095215965919
27,0.11764882032612492
28,0.0797095215965919
29,0.11764882032612492
30,0.0797095215965919
31,0.11764882032612492
32,0.0797095215965919
33,0.11764882032612492
34,0.0797095215965919
35,0.11764882032612492
36,0.0797095215965919
37,0.11764882032612492
38,0.0797095215965919
39,0.11764882032612492
40,0.22609871001684415
41,0.18589702428128016
42,0.22609871001684415
43,0.18589702428128016
44,0.22609871001684415
45,0.18589702428128016
46,0.22609871001684415
47,0.18589702428128016
48,0.22609871001684415
49,0.18589702428128016
50,0.22609871001684415
51,0.18589702428128016
52,0.22609871001684415
53,0.18589702428128016
54,0.22609871001684415
55,0.18589702428128016
56,0.22609871001684415
57,0.18589702428128016
58,0.22609871001684415
59,0.18589702428128016
60,0.22609871001684415
61,0.18589702428128016
62,0.22609871001684415
63,0.18589702428128016
64,0.22609871001684415
65,0.18589702428128016
66,0.22609871001684415
67,0.18589702428128016
68,0.22609871001684415
69,0.18589702428128016
70,0.22609871001684415
71,0.18589702428128016
72,0.22609871001684415
73,0.18589702428128016
74,0.22609871001684415
75,0.18589702428128016
76,0.22609871001684415
77,0.18589702428128016
78,0.22609871001684415
79,0.18589702428128016
80,0.2477402555100031
81,0.25027870124636376
82,0.2477402555100031
83,0.25027870124636376
84,0.2477402555100031
85,0.25027870124636376
86,0.2477402555100031
87,0.25027870124636376
88,0.2477402555100031
89,0.25027870124636376
90,0.2477402555100031
91,0.25027870124636376
92,0.2477402555100031
93,0.25027870124636376
94,0.2477402555100031
95,0.25027870124636376
96,0.2477402555100031
97,0.25027870124636376
98,0.2477402555100031
99,0.25027870124636376
