Analyte,tR,t0,k,logk
Trehalose,1.967,0.983,1.000,0.000
Trehalose,1.950,0.967,1.017,0.007
Trehalose,1.933,0.983,0.966,-0.015
Xylose,15.450,1.034,13.949,1.145
Xylose,13.284,1.000,12.282,1.089
Xylose,11.583,0.983,10.779,1.033
Xylose,10.317,0.984,9.490,0.977
Xylose,9.317,0.983,8.475,0.928
Xylose,8.500,0.984,7.643,0.883
Xylose,7.834,0.984,6.965,0.843
Xylose,7.267,0.983,6.390,0.806
Xylose,6.734,0.967,5.965,0.776
Xylose,6.333,0.983,5.440,0.736
Xylose,5.984,0.984,5.084,0.706
Xylose,5.667,0.967,4.862,0.687
Xylose,5.400,0.967,4.586,0.661
Xylose,5.150,0.967,4.327,0.636
Xylose,4.934,0.984,4.017,0.604
Xylose,4.734,0.967,3.896,0.591
Xylose,4.567,0.984,3.644,0.562
Xylose,4.400,0.967,3.551,0.550
Xylose,4.267,0.967,3.414,0.533
Xylose,4.133,0.967,3.276,0.515
Xylose,3.984,0.984,3.051,0.484
Xylose,3.883,0.983,2.949,0.470
Xylose,3.783,0.983,2.847,0.454
Xylose,3.684,0.984,2.746,0.439
Xylose,3.584,0.984,2.644,0.422
